Year,Region,Agency Name,City,County,State,Attendance,Rescues - Total,Rescue - Rip,Rescue - Surf,Rescue - Swift,Rescues - Scuba,Primary Cause of Rescue - Others,Rescue - Cliff,Boat Rescues - Rescues,Boat Rescues - Passengers,Boat Rescues - Value,Boat Assists - Rescues,Boat Assists - Passengers,Boat Assists - Value,Prevents,Medical Aids - Total,Medical Aids - Major,Medical Aids - Minor,Drowning Deaths (Unguarded) - Total,Drowning Deaths (Unguarded) - Rip,Drowning Deaths (Unguarded) - Surf,Drowning Deaths (Unguarded) - Scuba,Drowning Deaths (Unguarded) - Drop-Off,Drowning Deaths (Unguarded) - Alc/Drugs,Drowning Deaths (Unguarded) - Ability,Drowning Deaths (Unguarded) - Floatation,Drowning Deaths (Unguarded) - Other,Drowning Deaths (Guarded) - Total,Drowning Deaths (Guarded) - Rip,Drowning Deaths (Guarded) - Surf,Drowning Deaths (Guarded) - Scuba,Drowning Deaths (Guarded) - Drop-Off,Drowning Deaths (Guarded) - Alc/Drugs,Drowning Deaths (Guarded) - Ability,Drowning Deaths (Guarded) - Floatation,Drowning Deaths (Guarded) - Other,Other Fatalities,Enforcements - Total,Enforcements - Warnings,Enforcements - Boat/PWC,Enforcements - Citations,Enforcements - Arrests,Lost/Found Persons,Public Education - Lectures,Public Education - Students,Demographics - Miles Guarded,Demographics - Miles Not Guarded,Demographics - Full-Time Employees,Demographics - Part-Time Employees,Demographics - Jr. Guards,Demographics - Agency Water Is,Demographics - Agency Coverage,Demographics - Avg. Weekday Towers Staffed,Demographics - Avg. Weekend Towers Staffed,Demographics - Avg. Distance Between Tower (yards),Demographics - # Rescue Vehicles,Demographics - Boat < 15,Demographics - Boat 15+,Demographics - PWC,Demographics - Non Motorized Rescue Craft
1994,Southeast,"Deerfield Beach Ocean Rescue, City of, Florida",Deerfield Beach,Broward County,Florida,"970,000",11,0,0,0,0,,0,1,1,"3,000",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Southeast,"Deerfield Beach Ocean Rescue, City of, Florida",Deerfield Beach,Broward County,Florida,"985,000",8,0,0,0,0,,0,1,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,Southeast,"Deerfield Beach Ocean Rescue, City of, Florida",Deerfield Beach,Broward County,Florida,"790,000",24,0,0,0,0,,0,0,0,0,0,0,0,0,297,297,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,Southeast,"Deerfield Beach Ocean Rescue, City of, Florida",Deerfield Beach,Broward County,Florida,"3,086,080","1,105",0,0,0,0,,0,6,18,"250,000",0,0,0,"33,385","1,573","1,573",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,16,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Southeast,"Deerfield Beach Ocean Rescue, City of, Florida",Deerfield Beach,Broward County,Florida,"4,098,750",115,100,15,0,0,0,0,0,0,0,66,122,"1,000,000","48,184",364,56,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,192,189,763,2,1,49,4,200,1,0,20,30,120,Ocean,Year Round,9,9,150,3,10,2,2,14
2023,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,932,204",439,418,20,0,0,0,1,0,0,0,0,0,0,"14,179",782,50,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,436","1,036",5,400,0,62,5,"2,035",1,1,6,75,240,Ocean,Year Round,5,6,250,4,2,0,0,10
2022,Southwest,"Santa Cruz Marine Safety, City of, California",Santa Cruz,Santa Cruz County,California,"943,178",262,17,43,0,0,0,0,4,8,"12,000",6,6,"8,000","162,686",175,27,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,401",214,70,0,0,310,695,"19,200",3,2,2,65,925,Ocean,Year Round,5,8,250,4,0,0,4,0
2021,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,750,890",929,927,0,0,0,0,1,1,0,0,0,0,0,"16,474",966,6,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,879","8,479",0,400,0,50,15,"1,200",3,0,5,40,234,Open Water,Year Round,6,8,300,3,3,0,0,20
2020,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"3,698,197",893,893,0,0,0,,3,2,4,$0,0,0,$0,"22,413","1,479",0,"1,479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,369","10,369",0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,283,944",640,0,0,0,0,,2,0,0,$0,0,0,$0,"14,633","1,069",0,"1,069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,796","4,744",0,52,0,35,20,"2,000",2,0,5,50,800,Ocean,Year Round,5,6,400,2,2,0,0,0
2018,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,797,435",880,880,0,0,0,,0,0,0,$0,0,0,$0,"8,779",870,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,519","2,519",0,0,0,50,25,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,690,432",698,0,0,0,0,,2,0,0,$0,0,0,$0,"7,605","1,227",5,"1,222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,199","3,199",0,0,0,156,10,"2,500",2,0,4,50,800,Ocean,Year Round,6,6,350,3,3,0,0,0
2016,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,970,603",632,0,0,0,0,,3,0,0,$0,0,0,$0,"7,581",920,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,581","7,581",0,0,0,54,50,"4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"3,099,747",767,767,0,0,0,,0,0,0,$0,0,0,$0,"7,753",914,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,367","1,367",0,0,0,93,45,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"3,115,939",714,700,0,0,0,,0,0,0,$0,0,0,$0,"8,380",875,4,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,380","8,380",0,0,0,254,50,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,559,384",808,0,0,0,0,,5,53,0,$0,0,0,$0,"8,675","1,666",2,"1,664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,852","3,852",0,0,0,0,64,"3,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"236,722",827,827,0,0,0,,4,4,0,$0,4,0,$0,"11,755","1,091",2,"1,089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,959","2,959",0,0,0,0,59,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,216,969",382,370,0,12,0,,4,0,0,$0,0,0,$0,"5,415",995,5,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,330","2,330",0,0,0,42,24,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,763,255",243,211,20,12,0,,4,3,23,"$75,000",12,16,"$200,000",0,663,90,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,805,500",890,800,50,40,0,,12,13,33,"$200,000",10,35,"$100,000","3,725",414,90,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,048","1,033",15,0,0,130,70,"3,112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,765,300",860,790,58,12,0,,8,10,27,"$170,000",20,38,"$270,000","3,656",406,88,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,086",966,0,100,20,122,65,"2,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,652,742",755,715,33,7,0,,10,12,40,"$100,000",6,18,"$75,000","3,558",401,86,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,654","2,600",33,21,0,119,60,"1,750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,678,722",770,710,30,30,0,,4,9,20,"$125,000",10,30,"$80,000","3,567",391,88,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,465","3,100",320,45,0,112,55,"1,544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,818,000",778,710,63,5,0,,10,15,30,"$100,000",25,30,"$100,000","3,440",363,90,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,854","4,400",380,49,25,105,25,"3,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,856,655",627,587,20,20,0,,0,10,10,"$55,000",10,8,"$60,000","3,756",356,40,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,683","1,625",0,50,8,80,105,"3,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,703,982",632,460,172,0,0,,5,3,9,"$39,000",7,15,"$100,000","2,697",400,10,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,432","2,716","2,610",106,0,120,100,"25,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,795,890","1,116",0,0,0,0,,0,30,0,"$7,000",0,0,$0,"3,253",434,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,130,"3,791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,531,881",341,311,20,20,0,,15,3,7,"$50,000",5,10,"$55,000","1,757",318,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,398","1,325",10,0,63,63,80,"2,816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,502,101",611,556,35,20,0,,15,12,24,"$15,000",15,20,"$20,000","3,446",416,30,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,792","2,396","2,315",78,3,122,28,"1,198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,494,000",936,0,0,0,0,,2,10,20,$0,0,0,$0,"1,268",430,21,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1,777","1,736",0,41,0,95,48,"1,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,586,088","1,084",960,100,24,0,,5,3,9,"$10,000",0,0,$0,"2,868",373,40,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"2,149","1,887",88,174,0,159,46,"1,962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,263,859","1,440","1,296",0,0,0,,0,0,0,$0,0,0,$0,"2,542",367,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,255","2,132",0,120,3,86,42,"1,997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,073,975","1,429",0,0,0,0,,0,1,0,"$10,000",0,0,$0,"2,793",355,14,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,251,0,18,0,108,45,"1,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,996,512",675,615,25,35,0,,5,0,0,$0,1,3,"$10,000","3,176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,308","2,218",0,89,1,80,42,"1,748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"2,138,892","1,158",0,0,0,0,,0,0,0,$0,0,0,$0,"2,864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,28,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,540,182",844,0,0,0,0,,0,0,0,$0,0,0,$0,"1,981",327,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,25,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,858,051","1,198",0,0,0,0,,0,3,0,"$22,000",0,6,$0,"3,616",343,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,31,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,278,261",345,0,0,0,0,,0,6,14,"$21,000",0,0,$0,"3,763",422,422,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,33,"1,065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,270,627",715,0,0,0,0,,0,0,0,$0,0,0,$0,"3,074",677,677,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,233,723",538,0,0,0,0,,0,1,3,"$3,500",0,0,$0,"3,040",503,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,35,"1,410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,230,108",484,0,0,0,0,,0,3,7,"$14,000",0,0,$0,"5,815",493,493,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,23,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"971,230",194,0,0,0,0,,0,15,45,"$48,000",0,0,$0,"1,536",392,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,27,"1,969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"643,861",209,0,0,0,0,,0,4,11,"$14,000",0,0,$0,"1,193",269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"927,501",371,0,0,0,0,,0,23,0,"$7,200",0,0,$0,659,273,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"1,013,441",322,0,0,0,0,,0,17,0,"$123,600",0,0,$0,"29,908",297,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,"884,020",357,0,0,0,0,,0,14,0,"$59,000",0,0,$0,"27,912",202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,Southwest,"Del Mar, City of, California",Del Mar,San Diego County,California,0,0,0,0,0,0,,0,0,0,$0,0,0,$0,"50,922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Southwest,"Ventura County, Fire Protection District ARRT, County of, California",Ventura County,Ventura County,California,0,20,3,5,0,0,0,0,4,6,0,3,4,0,0,10,2,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,32,0,0,"Ocean, Lake, Open Water",Year Round,0,0,0,3,0,1,4,1
2021,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"3,956,970",115,106,9,0,0,,0,0,0,$0,0,0,$0,304,328,35,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,63,0,0,1.5,0,1,55,28,Ocean,Seasonal,17,22,90,3,0,0,0,16
2020,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"3,172,000",106,92,14,0,0,,0,0,0,0,0,0,0,238,249,34,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,53,0,0,2,0,1,55,-,Ocean,Seasonal,18,22,90,1,0,0,0,16
2019,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"3,102,000",68,60,8,0,0,,0,0,0,0,0,0,0,239,389,39,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,94,0,0,2,0,1,53,30,Ocean,Seasonal,18,21,90,1,0,0,0,16
2018,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"2,975,000",190,185,5,0,0,,0,0,0,0,0,0,0,211,221,46,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,107,4,120,2,0,1,48,35,Ocean,Seasonal,19,22,100,1,0,0,0,16
2017,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"3,000,000",111,105,6,0,0,,0,0,0,0,0,0,0,203,215,45,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"2,250,000",133,119,14,0,0,,0,0,0,0,0,0,0,220,208,43,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,2,14,49,6,35,Ocean,Seasonal,18,21,60,1,0,0,0,17
2015,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"2,200,000",216,190,26,0,0,,0,0,0,0,0,0,0,189,262,37,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,84,4,200,2,14,55,10,75,Ocean,Seasonal,17,20,50,1,0,0,0,14
2014,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"2,100,000",291,133,158,0,0,,0,0,0,0,0,0,0,93,141,22,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,84,0,0,2,14,55,10,62,Ocean,Seasonal,17,20,50,0,0,0,0,14
2013,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"1,919,000",134,126,7,0,0,,0,0,0,0,0,0,0,81,313,42,271,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,12,50,15,68,Ocean,Seasonal,17,20,50,2,0,0,0,22
2012,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"1,818,500",291,284,7,0,0,,0,0,0,0,0,0,0,120,693,48,645,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,40,0,30,5,0,2,77,2,14,55,10,-,Ocean,Seasonal,17,20,50,2,0,0,0,12
2011,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"1,500,000",298,171,127,0,0,,0,0,0,0,0,0,0,82,261,53,208,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,69,50,0,0,19,20,0,0,2,14,0,55,-,Ocean,Seasonal,17,20,50,2,0,0,0,10
2010,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"1,950,000",148,100,48,0,0,,0,0,0,0,0,0,0,179,240,39,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,34,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"1,690,000",86,83,3,0,0,,0,0,0,0,0,0,0,167,333,54,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,61,0,0,25,42,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"2,150,000",109,93,16,0,0,,0,1,1,0,0,0,0,212,284,48,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,528,0,51,6,0,4,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"1,600,000",82,63,19,0,0,,0,0,0,0,0,0,0,148,307,20,287,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,101,14,0,63,24,0,4,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"1,563,000",171,148,23,0,0,,0,0,0,0,0,0,0,78,319,28,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,24,7,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,"1,425,000",196,158,38,0,0,,0,0,0,0,0,0,0,148,451,73,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,268,3,148,15,28,8,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Mid-Atlantic,Delaware State Parks,Delaware State Parks,Delaware State Parks,Delaware,104,99,50,15,10,0,24,0,0,0,0,0,0,0,453,361,50,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,18,6,11,2,75,17,8,12,4,1,104,30,"Ocean, Open Water",Seasonal,27,27,75,3,0,0,0,0
2023,Southeast,"Delray Beach Ocean Rescue, City of, Florida",Delray Beach,Palm Beach County,Florida,"3,572,199",48,4,0,0,0,0,0,1,1,0,11,14,0,"111,295","9,369",21,"9,348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"34,909",0,0,0,0,89,329,1,1,24,11,60,Ocean,Year Round,8,8,175,5,0,0,1,0
2022,Southwest,"Central Fire Department, Santa Cruz, California",Santa Cruz,Santa Cruz County,California,"8,120,500",24,10,14,0,0,0,0,3,8,"40,000",0,0,0,"78,523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,689,"20,476",5,9,87,0,0,"Ocean, Open Water, River",Year Round,0,0,0,1,0,0,2,0
2021,Southeast,"Delray Beach Ocean Rescue, City of, Florida",Delray Beach,Palm Beach County,Florida,"3,050,397",38,20,12,0,0,,0,4,4,$0,2,2,$0,"65,861","9,912",28,"9,884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,612","31,612",0,0,0,11,2,5,1,1.25,19,25,-,Ocean,Year Round,8,8,175,5,0,0,1,0
2020,Southeast,"Delray Beach Ocean Rescue, City of, Florida",Delray Beach,Palm Beach County,Florida,"2,044,883",88,39,52,0,0,,0,4,6,0,1,1,0,"62,604","7,801",32,"7,769",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,45,257,1,1.25,19,25,-,Ocean,Year Round,8,8,175,5,0,0,1,0
2019,Southeast,"Delray Beach Ocean Rescue, City of, Florida",Delray Beach,Palm Beach County,Florida,"3,228,180",38,12,0,0,0,,0,4,8,0,13,14,0,"68,165","8,176",22,"8,154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,118,"1,119",1,1.25,18,25,175,Ocean,Year Round,8,8,175,5,0,0,1,0
2018,Southeast,"Delray Beach Ocean Rescue, City of, Florida",Delray Beach,Palm Beach County,Florida,"2,685,180",81,60,21,0,0,,0,1,2,0,1,2,0,"57,585","7,121",33,"7,088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,123","25,123",0,0,0,7,31,675,1,1.25,19,25,150,Ocean,Year Round,8,8,175,5,0,0,1,0
2017,Southeast,"Delray Beach Ocean Rescue, City of, Florida",Delray Beach,Palm Beach County,Florida,"2,622,864",105,65,32,0,2,,0,2,2,0,4,8,0,"53,848","6,137",25,"6,112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,756","23,756",0,0,0,19,5,43,1,1.25,19,25,150,Ocean,Year Round,8,8,175,5,0,0,1,0
2016,Southeast,"Delray Beach Ocean Rescue, City of, Florida",Delray Beach,Palm Beach County,Florida,"2,953,861",72,50,22,0,0,,0,1,2,0,2,2,0,"32,450","2,822",18,"2,804",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,593","21,593",0,0,0,45,52,157,1,1.25,16,27,40,Ocean,Year Round,8,8,175,4,0,0,1,0
